기사 제목,기사 링크
[영상]우주 급유·재사용 실험실…올해 지구궤도서 등장할 ‘경천동지’ 신기술,https://news.google.com/read/CBMiWkFVX3lxTE5aQjBFbnE3eS1IRlR1aHNKVHVxMEgwblRMQ2hzbElveDJoMUpiZ0VWaWNRSE5lN1RpTGY2OTBQU2V6QTdSODlaTm5FMDRCd3h5TDgxWXgzek51Z9IBXEFVX3lxTE1PTHd4V1djWjZDXzFrQmd1MVNDNjFLb0tYU1NiZHgtQWpwNzBrSXJUcTR3aWY5VVFPY0U3REtxWEU4eWJMa2dVVmFEbVd3M0lKSzFtckxnWkJwdGR3?hl=ko&gl=KR&ceid=KR%3Ako
[김승조의 혁신의 우주경제] 우리의 미래를 바꿀 우주기술의 파괴적 혁신,https://news.google.com/read/CBMiVkFVX3lxTE85XzlyTHZmVVpxUjNteW10Tl9EQTdFdFAyZ01tTTYxQUZCY0tKMTJFTHRwcUtxMHR3R0hMejBzT2JFaTFaNHVrNUQzOG05ZUlyQ29pUVB3?hl=ko&gl=KR&ceid=KR%3Ako
머스크·베이조스도 홀린 2천조 시장…1년 새 40%↑/[투자의 재발견]/한국경제TV뉴스,https://news.google.com/read/CBMiwwNBVV95cUxPNm5waFhSVUdhaV9tdFdwNGp5V2I4SFJfMzZma25IdGtFMjB6dDBNVkhNT2t6SWlhbGhMbFVvOXdLVjhicXp3TTR0VTc0cnUxWl9BaVBpTkxWbzhpeWxweGxVN1ZwNWlnYUpGRjg5M0RwZUo1UVQyU0gxZnZvNXNXWTV6UkJ1NlhHYXlWeEZtLUVyLUNkNnZMUzVIaU96NGhVcmwxSUFlVXJ2VEpnU1RHZkFoMzM3bnVfNkhRRjhVZE5EaFJwVEtZMlVoeU5FUEctWXhLb0tLOFk5Y1ZBaEtucHpHc0N5TUVxZGRUQnA2ZHJzbFJVUV9VZVk2cThtRUpLZlZoVWxWc25XU1l2cU5idDUxWUtFWmxfNU83YmJPVmQxN2hZSk93M0NHUUtjajJHRWdlTlIwaDVmbHdtQVhjM0N2bnFsUWJrSjB0QkFZdkpXejdTN3doTG9BcDN2LTdReWU0M0JIelo3aUoydXVwUXBrSnpSbktNZEtzRTlwQXhpNW5maXZ6REd2czZNSXJidk9KZmF0ZW90RFJNbXhmdndobjNJM3AwR0pMNmZIZWE0d2swRWZLOG1CNHhDY0VFWWVB?hl=ko&gl=KR&ceid=KR%3Ako
"퍼플랩 PC, ARR5-FX60Ti & AVR5-FX60E & AGR5-Custom Kit “G마켓 설 빅세일” 참여",https://news.google.com/read/CBMibEFVX3lxTE1MVG9qNFZHcFE1SzdUcENHU3dhamk2Q0Q1S1F3SGNoWi1PUXloeGhRODN5WW8wZUdDaXozQU50NUM0QTFlaThnU09EMDdJZmYzbmZROEJ3c2hXNk5sdGt4TC1UUGhJVzJReEVSbg?hl=ko&gl=KR&ceid=KR%3Ako
"고객 맞춤형 프리미엄 데스크탑, 퍼플랩 ! '1월 알리 초이스데이' 프로모션 참여",https://news.google.com/read/CBMiY0FVX3lxTE1taGphejZHOG05YXJfUHp4Q01SSENEV2dSQV9CXzJ6SUhsRklGWnlYX21PR1lTVTFSSV9qNTBUYmNTME1rQTFiSzVOQkNGTmVBRVE4U25PR3ZNdm1yWEZLRHVkQQ?hl=ko&gl=KR&ceid=KR%3Ako
"퍼플랩, 11번가 에브리데이 십일절 행사 참여… AVR5-R66X 특별 할인 혜택",https://news.google.com/read/CBMiakFVX3lxTFBnWUlwQnBsT0g5dFdWMEZ2VWpyM2FnZWtuLXYxN0x0c3JqbmstSmc5ajdyOHhBUU51TzZlQ2RMalNIVFB1ZlVtX09pOGgtbWJRS3RoZTl3dkZwalBBZFB5b3pXVkYwT094bUHSAW5BVV95cUxQLXFXaVV3bC1PSTl5WHlfTXM1Q2VydUdmNENmOVRSS0d3SjRPRk9uSHRxYUVPNFNvZWFERHY1cl9wVW1wZ0haWHVBVHM2SFBuUmwzUEVGQkxMTGhUaDI2cDZEdGNaOVdGZmpQc1N6QQ?hl=ko&gl=KR&ceid=KR%3Ako
"퍼플랩, 신년 '알리 초이스데이'로 가성비 게이밍 PC 라인업 공개",https://news.google.com/read/CBMiaEFVX3lxTE9hZ0U0QzJyTktvVU1qT1VmZFhRcFdRVkZpQWVmdV9xNGh1RFFHeXBFajFReFpQY3MwbVlMQ1paeXpNU1dsdGdyVDV2ZHd6V3otZ3NzTDc1Y3ZtTEpDOHQwQmRsWkUxV1Fv?hl=ko&gl=KR&ceid=KR%3Ako
"‘텍스트-비디오 모델’ 경쟁, 눈에 띄는 3社",https://news.google.com/read/CBMib0FVX3lxTE96RkQ0SVJrWDBMLTU0ZVRCSGJWMDladm1SMlJ5REZUVV93TkNSb3R0M3RZOXFhMDJoSXZuS0Qwb250MUVwdnFtU1pRR1NPR3ZKeFRZd2NzSURNWUMxZTNPcXN4ZWw2SlFCeTMwMmtmWQ?hl=ko&gl=KR&ceid=KR%3Ako
"Open AI, Google DeepMind 두 대기업이 출시한 영상 생성 AI 모델 ‘Sora’, ‘Veo2’",https://news.google.com/read/CBMiTEFVX3lxTFB3Z2VfQzFwazhweEd2ajZlYXctbG9kemxncnZBOVBCT1Q3Y3BUcU16SXN3TS1YTDc4X2FWdGE1cXl0T2NaR2t6X2ZLY08?hl=ko&gl=KR&ceid=KR%3Ako
AI 영화가 CGV에? (feat. 구글 veo2),https://news.google.com/read/CBMiREFVX3lxTE5ISVFRZ1poZ3JkS3NoMzVUcVc3NEhtZWJkQjU1TDNTZ0dFY1htdDN4Q014OEhEUjhwV1BDUkN1OGVZLXpv?hl=ko&gl=KR&ceid=KR%3Ako
구글 Veo2의 계속 업데이트 되는 놀라운 영상들!,https://news.google.com/read/CBMid0FVX3lxTE1LX2FsOU9VaGUwY3hsb0xiUkRDcE15aVdiNWVRcGUyaVR6bUgtRWZyazNXOVR3U2JFWGxiU3NOVlVXdWJiR3RBNkN4eFcyeW54Qm9IN0lrcGt4dmN0WlZhVmtBS09uUTJMcllfRnR1NW5HQjZCRVJF?hl=ko&gl=KR&ceid=KR%3Ako
